,Date,Close,High,Low,Open,Volume,k,d,macd,macdsignal,macdhist,upperband,middleband,lowerband,rsi,adx,+di,-di,TAS,TBC,EveningStar,MorningStar,Engulfing
43,2024-12-02,239.58999633789062,240.7899932861328,237.16000366210938,237.27000427246094,48137100,92.20064081270986,93.45148267919431,2.2507393059295566,0.9348224162873535,1.315916889642203,240.55797436216235,235.95599670410155,231.35401904604075,70.07066995134088,18.271614427722515,33.138597456450505,13.493728917970166,0,0,0,0,0
44,2024-12-03,242.64999389648438,242.75999450683594,238.89999389648438,239.80999755859375,38861000,94.35025223564058,93.5490891059227,2.8733607801084986,1.3225300890515825,1.550830691056916,243.7518091521082,237.91199645996093,232.07218376781367,73.47263459448995,20.31583389110065,34.49427268832121,12.471635651773735,0,0,0,0,0
45,2024-12-04,243.00999450683594,244.11000061035156,241.25,242.8699951171875,44383900,92.43137402207209,92.99408902347419,3.357142772611695,1.7294526257636051,1.62769014684809,245.6887210839333,239.5019958496094,233.31527061528547,73.84923778277637,22.431278088102236,35.21860540414539,11.760815982908408,0,0,0,0,0
46,2024-12-05,243.0399932861328,244.5399932861328,242.1300048828125,243.99000549316406,40033900,91.32090579764531,92.70084401845266,3.7003092759400147,2.123623955798887,1.5766853201411277,245.7113047483539,241.12399597167968,236.53668719500544,73.88251188202432,24.464514742966106,34.36406784181669,11.182445244714772,0,0,0,0,0
47,2024-12-06,242.83999633789062,244.6300048828125,242.0800018310547,242.91000366210938,36870600,83.72219582984629,89.15815854985455,3.911048981811092,2.481108961001328,1.429940020809764,244.87665669082958,242.2259948730469,239.5753330552642,73.21367741337336,26.36768664300903,32.727881803441484,10.589060058687382,0,0,0,0,0
48,2024-12-09,246.75,247.24000549316406,241.75,241.8300018310547,44649200,85.32363259245386,86.78891140664848,4.343497203253719,2.8535866094518063,1.4899105938019126,246.76251021659482,243.65799560546876,240.5534809943427,77.50176727446662,28.550370203694644,34.350699155858386,9.4289956155522,0,0,0,0,100
49,2024-12-10,247.77000427246094,248.2100067138672,245.33999633789062,246.88999938964844,36914800,87.94671575889909,85.66418139373307,4.714179230924998,3.2257051337464446,1.4884740971785533,248.94318627498518,244.68199768066407,240.42080908634296,78.47005241200853,30.716987167079942,34.318581014322206,8.881231870699109,0,0,0,0,0
50,2024-12-11,246.49000549316406,250.8000030517578,246.25999450683594,247.9600067138672,45205800,80.05950270944523,84.44328368693272,4.8487686180064316,3.550317830598442,1.2984507874079894,249.45214888249774,245.37799987792968,241.30385087336163,74.15686367241837,33.06831127429684,36.3654733567438,8.08144418209724,0,0,0,0,-100
51,2024-12-12,247.9600067138672,248.74000549316406,245.67999267578125,246.88999938964844,32777500,71.55756705397822,79.8545951741075,5.016224575713153,3.8434991796213844,1.1727253960917685,250.0614663831126,246.36200256347655,242.6625387438405,75.80187558982956,34.93470762603592,34.13424960462227,8.748549902896505,0,0,0,0,0
52,2024-12-13,248.1300048828125,249.2899932861328,246.24000549316406,247.82000732421875,33155300,63.83061232403926,71.81589402915424,5.103818418439545,4.095563027385016,1.0082553910545284,248.7562698023619,247.42000427246094,246.08373874255997,75.99219692757947,36.74632731889829,33.13933009558059,8.207982515458024,0,0,0,0,0
